id,observed_on,user_id,user_login,created_at,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_latitude,private_longitude,geoprivacy,species_guess,scientific_name,common_name,iconic_taxon_name
221250452,2024-06-07,160274,camerondeckert,2024-06-08 06:37:50 UTC,research,https://www.inaturalist.org/observations/221250452,https://inaturalist-open-data.s3.amazonaws.com/photos/391811652/medium.jpg,Mamma,"Range Rd, Whitehorse, YT, CA",60.7388883333,-135.0907278333,4,,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia
221253517,2024-06-07,160274,camerondeckert,2024-06-08 07:09:11 UTC,research,https://www.inaturalist.org/observations/221253517,https://inaturalist-open-data.s3.amazonaws.com/photos/391816798/medium.jpg,"","Ketza Rd, Whitehorse, YT, CA",60.7032133333,-135.0228888333,4,,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia
221255506,2024-06-07,160274,camerondeckert,2024-06-08 07:30:40 UTC,research,https://www.inaturalist.org/observations/221255506,https://inaturalist-open-data.s3.amazonaws.com/photos/391821115/medium.jpg,"Pups
","Yukon, CA-YT, CA",60.715927881,-135.123104906,15,,,obscured,Red Fox,Vulpes vulpes,Red Fox,Mammalia
221697138,2024-06-09,1613659,teamshrub,2024-06-09 23:21:34 UTC,research,https://www.inaturalist.org/observations/221697138,https://inaturalist-open-data.s3.amazonaws.com/photos/392626308/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.821495087,-137.3911437909,30,,,,Boreal Sweet-vetch,Hedysarum boreale,Boreal Sweet-vetch,Plantae
221697387,2024-06-09,1613659,teamshrub,2024-06-09 23:23:07 UTC,research,https://www.inaturalist.org/observations/221697387,https://inaturalist-open-data.s3.amazonaws.com/photos/392626847/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.8214516701,-137.3911485686,23,,,,Arctic Lupine,Lupinus arcticus,Arctic Lupine,Plantae
221697734,2024-06-09,3652753,ciaranorton,2024-06-09 23:24:52 UTC,research,https://www.inaturalist.org/observations/221697734,https://inaturalist-open-data.s3.amazonaws.com/photos/392627472/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.8214622037,-137.3913441507,3,,,,Arctic Lupine,Lupinus arcticus,Arctic Lupine,Plantae
221697877,2024-06-09,1613659,teamshrub,2024-06-09 23:25:35 UTC,research,https://www.inaturalist.org/observations/221697877,https://inaturalist-open-data.s3.amazonaws.com/photos/392627745/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8214995212,-137.3916182021,23,,,,common dandelion,Taraxacum officinale,common dandelion,Plantae
221699146,2024-06-09,3652753,ciaranorton,2024-06-09 23:32:57 UTC,research,https://www.inaturalist.org/observations/221699146,https://inaturalist-open-data.s3.amazonaws.com/photos/392630439/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215249841,-137.3914692925,3,,,,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae
221699207,2024-06-09,1613659,teamshrub,2024-06-09 23:33:09 UTC,research,https://www.inaturalist.org/observations/221699207,https://inaturalist-open-data.s3.amazonaws.com/photos/392630513/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215433039,-137.391570282,23,,,,Pretty Jacob's-ladder,Polemonium pulcherrimum,Pretty Jacob's-ladder,Plantae
221699930,2024-06-09,1613659,teamshrub,2024-06-09 23:35:53 UTC,research,https://www.inaturalist.org/observations/221699930,https://inaturalist-open-data.s3.amazonaws.com/photos/392631539/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.82154131,-137.3915899219,23,,,,tall bluebells,Mertensia paniculata,tall bluebells,Plantae
221700191,2024-06-09,1613659,teamshrub,2024-06-09 23:37:17 UTC,research,https://www.inaturalist.org/observations/221700191,https://inaturalist-open-data.s3.amazonaws.com/photos/392632044/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8216230321,-137.3914352625,96,,,,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae
221700341,2024-06-09,1613659,teamshrub,2024-06-09 23:38:13 UTC,needs_id,https://www.inaturalist.org/observations/221700341,https://inaturalist-open-data.s3.amazonaws.com/photos/392632393/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215683876,-137.391446804,23,,,,"",Syrphidae,Hover Flies,Insecta
221700619,2024-06-09,1613659,teamshrub,2024-06-09 23:40:06 UTC,needs_id,https://www.inaturalist.org/observations/221700619,https://inaturalist-open-data.s3.amazonaws.com/photos/392633181/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215623405,-137.3914557296,23,,,,"",Formica,"Wood, Mound, and Field Ants",Insecta
221700721,2024-06-09,3652753,ciaranorton,2024-06-09 23:40:40 UTC,research,https://www.inaturalist.org/observations/221700721,https://inaturalist-open-data.s3.amazonaws.com/photos/392633374/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215179852,-137.3916502578,3,,,,Yellow Mountain-avens,Dryas drummondii,Yellow Mountain-avens,Plantae
221701586,2024-06-09,1613659,teamshrub,2024-06-09 23:45:39 UTC,needs_id,https://www.inaturalist.org/observations/221701586,https://inaturalist-open-data.s3.amazonaws.com/photos/392635241/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215645917,-137.391664149,23,,,,"",Calliphoridae,Blow Flies,Insecta
221701778,2024-06-09,1613659,teamshrub,2024-06-09 23:46:29 UTC,needs_id,https://www.inaturalist.org/observations/221701778,https://inaturalist-open-data.s3.amazonaws.com/photos/392635547/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215685904,-137.3916613048,23,,,,Rove Beetles,Staphylinidae,Rove Beetles,Insecta
221702478,2024-06-09,3652753,ciaranorton,2024-06-09 23:50:12 UTC,research,https://www.inaturalist.org/observations/221702478,https://inaturalist-open-data.s3.amazonaws.com/photos/392637019/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.821562619,-137.3915319891,8,,,,Cutleaf Anemone,Anemone multifida,Cutleaf Anemone,Plantae
221703144,2024-06-09,3652753,ciaranorton,2024-06-09 23:53:26 UTC,research,https://www.inaturalist.org/observations/221703144,https://inaturalist-open-data.s3.amazonaws.com/photos/392638445/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.821529259,-137.3915730604,3,,,,tall bluebells,Mertensia paniculata,tall bluebells,Plantae
221703165,2024-06-09,1613659,teamshrub,2024-06-09 23:53:34 UTC,needs_id,https://www.inaturalist.org/observations/221703165,https://inaturalist-open-data.s3.amazonaws.com/photos/392638511/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215308301,-137.391647626,23,,,,Silvery Blue,Glaucopsyche lygdamus,Silvery Blue,Insecta
221703362,2024-06-09,1613659,teamshrub,2024-06-09 23:54:39 UTC,research,https://www.inaturalist.org/observations/221703362,https://inaturalist-open-data.s3.amazonaws.com/photos/392638945/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.8215370075,-137.3918615132,23,,,,trembling aspen,Populus tremuloides,trembling aspen,Plantae
221704720,2024-06-09,1613659,teamshrub,2024-06-10 00:00:09 UTC,research,https://www.inaturalist.org/observations/221704720,https://inaturalist-open-data.s3.amazonaws.com/photos/392640970/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.821547598,-137.3916940323,21,,,,cut-leaf fleabane,Erigeron compositus,cut-leaf fleabane,Plantae
221705099,2024-06-09,7486871,beaucheminalex,2024-06-10 00:02:08 UTC,research,https://www.inaturalist.org/observations/221705099,https://inaturalist-open-data.s3.amazonaws.com/photos/392641662/medium.jpg,"","Alaska Hwy, Burwash Landing, YT, CA",60.821497185,-137.3916030676,4,,,,Tall Bluebell,Mertensia paniculata,tall bluebells,Plantae
221705293,2024-06-09,7486871,beaucheminalex,2024-06-10 00:03:16 UTC,research,https://www.inaturalist.org/observations/221705293,https://inaturalist-open-data.s3.amazonaws.com/photos/392642124/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.8214218869,-137.39145563,3,,,,Arctic Lupine,Lupinus arcticus,Arctic Lupine,Plantae
221706172,2024-06-09,1613659,teamshrub,2024-06-10 00:08:08 UTC,needs_id,https://www.inaturalist.org/observations/221706172,https://inaturalist-open-data.s3.amazonaws.com/photos/392643898/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.8214595408,-137.3913620168,23,,,,"",Danosoma,,Insecta
221707362,2024-06-09,4634238,charlottemittelstaedt,2024-06-10 00:13:58 UTC,research,https://www.inaturalist.org/observations/221707362,https://inaturalist-open-data.s3.amazonaws.com/photos/392646094/medium.jpg,"","Peel Rd, Whitehorse, YT, CA",60.7049866667,-135.0243833333,4,,,,lodgepole pine,Pinus contorta,lodgepole pine,Plantae
221711606,2024-06-09,160274,camerondeckert,2024-06-10 00:37:55 UTC,needs_id,https://www.inaturalist.org/observations/221711606,https://inaturalist-open-data.s3.amazonaws.com/photos/392654908/medium.jpg,Terrible photos!,"Lagoon Rd, Inuvik, NT, CA",68.36463,-133.7487333333,4,,,,"",Vulpes vulpes,Red Fox,Mammalia
221713704,2024-06-09,3652753,ciaranorton,2024-06-10 00:49:45 UTC,research,https://www.inaturalist.org/observations/221713704,https://inaturalist-open-data.s3.amazonaws.com/photos/392659573/medium.jpg,"","Logan St, Haines Junction, YT, CA",60.7531133333,-137.5161616667,3,,,,Pretty Jacob's-ladder,Polemonium pulcherrimum,Pretty Jacob's-ladder,Plantae
221713985,2024-06-09,7486871,beaucheminalex,2024-06-10 00:51:00 UTC,research,https://www.inaturalist.org/observations/221713985,https://inaturalist-open-data.s3.amazonaws.com/photos/392936050/medium.jpg,"","Logan St, Haines Junction, YT, CA",60.7525771671,-137.5155652129,5,,,,common silverweed,Argentina anserina,common silverweed,Plantae
221755149,2024-06-09,1613659,teamshrub,2024-06-10 05:36:42 UTC,research,https://www.inaturalist.org/observations/221755149,https://inaturalist-open-data.s3.amazonaws.com/photos/392743737/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.8134478199,-136.7334769043,23,,,,American Bison,Bison bison,American Bison,Mammalia
221757464,2024-06-09,1613659,teamshrub,2024-06-10 06:00:19 UTC,research,https://www.inaturalist.org/observations/221757464,https://inaturalist-open-data.s3.amazonaws.com/photos/392759483/medium.jpg,"","Alaska Hwy, Haines Junction, YT, CA",60.7944905272,-136.3268884112,46,,,,Elk,Cervus canadensis,Elk,Mammalia
221761444,2024-06-09,5339023,elias_bowman,2024-06-10 06:48:31 UTC,research,https://www.inaturalist.org/observations/221761444,https://static.inaturalist.org/photos/392754348/medium.jpg,"","Nisutlin Dr, Whitehorse, YT, CA",60.7068786119,-135.0370689669,3,,,,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae
221761461,2024-06-09,4634238,charlottemittelstaedt,2024-06-10 06:48:51 UTC,research,https://www.inaturalist.org/observations/221761461,https://inaturalist-open-data.s3.amazonaws.com/photos/392754417/medium.jpg,"","Lewes Blvd, Whitehorse, YT, CA",60.7066526971,-135.0340849129,58,,,,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae
